city_name,id_num,city_from,city_longitude,city_latitude,CityPopulation,connected_component,an,clusters
גן יאשיה,293,734.0,34.993359999999996,32.3498,859.0,0,0,0
גן יבנה,294,166.0,34.702709999999996,31.78752,23887.0,0,0,3
גן נר,295,1274.0,35.337709999999994,32.53079,2700.0,0,0,3
גן שורק,296,311.0,34.76034,31.9451,353.0,0,0,8
גן שלמה,297,144.0,34.798390000000005,31.8785,570.0,0,0,5
גן שמואל,298,72.0,34.95047,32.453959999999995,1033.0,0,0,8
גנות,299,836.0,34.829209999999996,32.018190000000004,433.0,0,0,5
גנות הדר,300,549.0,34.90061,32.32075,909.0,0,0,8
גני הדר,301,1103.0,34.8543,31.878659999999996,359.0,0,0,5
גני טל,302,1371.0,34.79002,31.7891,913.0,0,0,4
גני יוחנן,303,862.0,34.83294,31.855790000000002,658.0,0,0,8
גני מודיעין,304,3823.0,,,2705.0,0,0,3
גני עם,305,218.0,34.90139,32.15149,242.0,17,1,1
גני תקווה,306,229.0,34.87404,32.06223,21508.0,0,0,3
געש,307,842.0,34.82665,32.22875,848.0,0,0,8
געתון,308,463.0,35.21397,33.00633,681.0,0,0,3
גפן,309,39.0,34.87814,31.74264,371.0,0,0,5
גרופית,310,1129.0,35.06617,29.939490000000003,305.0,0,0,1
גשור,311,4022.0,35.71904,32.8179,301.0,0,0,5
גשר,312,305.0,35.55083,32.61939,407.0,0,0,2
גשר הזיו,313,574.0,35.11205,33.042,1548.0,0,0,3
גת (קיבוץ),314,340.0,34.792429999999996,31.62678,804.0,0,0,5
גת רימון,315,128.0,34.88037,32.06847,255.0,0,0,8
דאלית אל-כרמל,316,494.0,35.05024,32.694340000000004,17862.0,0,0,5
דבורה,317,146.0,35.26343,32.5533,269.0,0,0,5
דבוריה,318,489.0,35.36802,32.69,10682.0,0,0,0
דבירה,319,849.0,34.82587,31.411690000000004,1019.0,0,0,8
דברת,320,407.0,35.34993,32.647009999999995,505.0,0,0,1
דגניה א',321,62.0,35.573570000000004,32.70706,559.0,0,0,5
דגניה ב',322,79.0,35.57695,32.699290000000005,683.0,0,0,5
"דוב""ב",323,1067.0,35.406909999999996,33.051790000000004,469.0,0,0,1
דולב,324,3747.0,35.13296,31.92665,1496.0,0,0,8
דור,325,738.0,34.92138,32.60764,386.0,0,0,5
דורות,326,336.0,34.64569,31.50627,722.0,0,0,5
דחי,327,475.0,35.34466,32.621320000000004,740.0,0,0,5
דייר אל-אסד,328,490.0,35.26753,32.94085,12710.0,0,0,5
דייר חנא,329,492.0,35.36823,32.86475,10459.0,0,0,5
דייר ראפאת,330,493.0,34.947590000000005,31.77608,99.0,0,0,1
דימונה,331,2200.0,35.093959999999996,31.01545,34954.0,0,0,3
דישון,332,2063.0,35.52629,33.08184,352.0,0,0,1
דליה,333,300.0,35.07535,32.58977,829.0,0,0,5
דלתון,334,431.0,35.48859,33.0171,853.0,0,0,1
דמיידה,335,1317.0,35.22793,32.81445,536.0,0,0,2
דן,336,303.0,35.65487,33.239940000000004,693.0,0,0,5
דפנה,337,302.0,35.6384,33.22991,774.0,0,0,5
דקל,338,1241.0,34.34505,31.19518,350.0,18,1,1
דריג'את,339,1349.0,35.07714,31.299090000000003,1035.0,0,0,0
האון,340,702.0,35.6259,32.7233,140.0,0,0,1
הבונים,341,675.0,34.93322,32.638690000000004,361.0,19,1,1
הגושרים,342,356.0,35.62462,33.21931,875.0,0,0,8
הדר עם,343,191.0,34.90169,32.348440000000004,742.0,0,0,5
הוד השרון,344,9700.0,34.88868,32.1474,64755.0,0,0,3
הודייה,345,726.0,34.64311,31.67346,694.0,0,0,8
הוואשלה (שבט),346,1169.0,34.923,30.986,2350.0,0,0,7
הוזייל (שבט),347,956.0,34.923,30.986,1819.0,0,0,7
הושעיה,348,1186.0,35.29291,32.757979999999996,2089.0,0,0,3
הזורע,349,250.0,35.12035,32.64391,956.0,0,0,5
הזורעים,350,307.0,35.50074,32.74485,998.0,0,0,5
החותרים,351,434.0,34.95688,32.75163,799.0,20,1,1
היוגב,352,684.0,35.20476,32.61148,802.0,0,0,1
הילה,353,1208.0,35.24394,33.035990000000005,616.0,0,0,8
המעפיל,354,377.0,34.98341,32.37773,867.0,0,0,1
הסוללים,355,677.0,35.23592,32.75196,921.0,0,0,8
העוגן,356,423.0,34.923629999999996,32.362190000000005,762.0,0,0,5
הר אדר,357,3769.0,35.12924,31.82682,4097.0,0,0,3
הר גילה,358,3603.0,35.172259999999994,31.721590000000003,1563.0,0,0,3
הר עמשא,359,1261.0,35.10188,31.344209999999997,215.0,0,0,2
הרדוף,360,1249.0,35.171040000000005,32.76413,552.0,0,0,8
הרצליה,361,6400.0,34.8268,32.16833,99208.0,0,0,3
הררית,362,1203.0,35.365840000000006,32.845009999999995,599.0,0,0,1
ורד יריחו,363,3639.0,35.43345,31.8269,392.0,0,0,5
ורדון,364,1133.0,34.78119,31.66426,276.0,0,0,1
זבדיאל,365,815.0,34.76181,31.66058,636.0,0,0,8
זבידאת,366,999.0,35.13968,32.73577,,0,0,1
זוהר,367,44.0,34.692679999999996,31.595029999999998,371.0,0,0,5
זיקים,368,584.0,34.522,31.608659999999997,891.0,0,0,5
זיתן,369,788.0,34.89043,31.976059999999997,1081.0,0,0,5
זכרון יעקב,370,9300.0,34.969640000000005,32.56671,23503.0,0,0,3
זכריה,371,799.0,34.9445,31.70988,1004.0,0,0,5
זלפה,372,640.0,34.763459999999995,31.26983,,0,0,4
זמר,373,1290.0,35.03328,32.36392,7223.0,0,0,0
זמרת,374,1065.0,34.55189,31.44802,674.0,0,0,8
זרועה,375,2064.0,34.62271,31.460440000000002,478.0,0,0,5
זרזיר,376,975.0,35.22311,32.725809999999996,8279.0,0,0,5
זרחיה,377,818.0,34.743359999999996,31.68099,751.0,0,0,3
ח'ואלד,378,1321.0,35.13859,32.77025,514.0,0,0,5
חבצלת השרון,379,235.0,34.86266,32.359609999999996,364.0,0,0,8
חבר,380,1110.0,35.26502,32.5478,613.0,0,0,8
חברון               ,381,3400.0,35.09983,31.53257,537.0,0,0,0
חגור,382,717.0,34.945840000000004,32.13734,967.0,0,0,5
חגי,383,3764.0,35.07983,31.49345,718.0,0,0,8
חגלה,384,205.0,34.92654,32.38583,734.0,0,0,5
חד-נס,385,4026.0,35.64248,32.92757,829.0,0,0,5
חדיד,386,618.0,34.93394,31.9676,901.0,0,0,8
חדרה,387,6500.0,34.91724,32.43531,98928.0,0,0,3
חולדה,388,160.0,34.882690000000004,31.8304,1069.0,0,0,3
חולון,389,6600.0,34.78352,32.01065,196510.0,0,0,5
חולית,390,1239.0,34.326370000000004,31.22995,176.0,21,1,1
חולתה,391,253.0,35.610440000000004,33.051109999999994,635.0,0,0,1
חוסן,392,662.0,35.297959999999996,32.99836,1131.0,0,0,8
חוסנייה,393,1332.0,35.32159,32.899879999999996,883.0,0,0,7
חופית,394,115.0,34.87383,32.38516,858.0,0,0,1
חוקוק,395,374.0,35.49563,32.879490000000004,611.0,0,0,5
חורה,396,1303.0,34.93745,31.297520000000002,23062.0,0,0,5
חורפיש,397,496.0,35.34594,33.02284,6490.0,0,0,3
